"Country","Region","CensusYear","PopulationTotal","UrbanPopulation","RuralPopulation","GrowthRatePct","MedianAge","DataSource"
"Mexico","Asia-Pacific","2019","1347315118","885811837","404426003","-0.66","29.4","UN Estimate"
"United Kingdom","North America","2018","140143404","103056175","64231061","0.52","27.8","National Census"
"Canada","Asia-Pacific","2016","234033014","189349179","39200894","0.03","22.1","World Bank"
"United States","Europe","2014","1056957983","535687744","430728406","0.24","38.6","National Census"
"Japan","South America","2009","1181236637","921705464","218364891","1.62","22.1","World Bank"
"Mexico","Europe","2012","589280485","249781558","195990433","-0.35","24","World Bank"
"Mexico","South America","2023","481772028","275341602","172612734","2.1","27.6","UN Estimate"
"Germany","North America","2013","978681210","531641777","509001281","2.24","31.5","UN Estimate"
"Japan","South America","2024","1002994570","842746891","480806435","1.12","38.1","Regional Survey"
"Mexico","Asia-Pacific","2010","1449119455","718189032","294757955","-0.98","40.8","UN Estimate"
"Japan","South America","2021","880903756","534311254","313330455","2.04","39.9","UN Estimate"
"United States","Asia-Pacific","2020","477833079","318944208","190972755","-0.8","30","National Census"
"Brazil","South America","2018","523106795","285764823","208204224","2.31","35.2","Regional Survey"
"Brazil","South America","2007","787807541","432011868","257594007","1.01","22.5","World Bank"
"Japan","South America","2021","1328187246","620602334","238445446","0.75","23.1","Regional Survey"
"Canada","Europe","2010","1253124111","581028663","608217010","3.1","34.1","World Bank"
"Japan","Europe","2023","133185739","50904260","63816851","1.44","22.9","World Bank"
"Canada","Europe","2015","93990185","47666352","33713708","-0.77","22.8","World Bank"
"United Kingdom","North America","2011","1125882257","523513949","282039821","2.61","39.2","UN Estimate"
"Mexico","North America","2016","340790637","153103624","153875157","3.14","27.8","National Census"
"United States","Asia-Pacific","2018","19858267","9178366","3793707","1.57","27.1","Regional Survey"
"Brazil","Asia-Pacific","2009","301702947","134679124","57299304","0.25","23","National Census"
"India","Asia-Pacific","2011","484089437","187338035","110147791","0.67","26.7","Regional Survey"
"United Kingdom","North America","2022","472936456","297589526","252338093","0.78","20.8","National Census"
"Canada","South America","2006","1061971100","765542687","543744142","0.48","33.1","UN Estimate"
"United States","North America","2006","766034331","365034472","134243936","2.18","32.9","World Bank"
"Germany","Asia-Pacific","2018","532747723","253471816","275536412","0.21","25.4","Regional Survey"
"Mexico","Asia-Pacific","2025","1307727327","993918798","276807480","-0.95","32","Regional Survey"
"Canada","North America","2022","982276777","824435285","335454826","2.19","38.5","UN Estimate"
"Canada","South America","2025","1055617023","448395915","568437701","0.72","20.6","UN Estimate"
"United States","Asia-Pacific","2014","179612755","136169649","62611257","-0.49","29.4","National Census"
"United Kingdom","North America","2024","956303780","366098416","414002602","-0.63","20.6","UN Estimate"
"United Kingdom","Europe","2015","783116431","636718842","245534744","1.83","31.9","Regional Survey"
"Japan","North America","2022","741463226","475611826","345746832","2.7","39.5","UN Estimate"
"Canada","South America","2016","115064458","82817402","42643788","0.06","21.1","UN Estimate"
"India","North America","2017","131078752","103269190","26005388","1.85","38.5","World Bank"
"Germany","North America","2015","878414000","668834368","228421667","1.25","33.3","UN Estimate"
"India","Asia-Pacific","2013","58475721","24269721","12934385","0.17","20.1","Regional Survey"
"Japan","Asia-Pacific","2008","1315105240","624862990","658828816","-0.42","31.9","Regional Survey"
"Japan","North America","2006","1178715172","543900254","526046555","0.24","24.7","UN Estimate"
"United Kingdom","South America","2008","400094728","148063375","81967771","-0.69","24.3","National Census"
"Germany","Europe","2005","434419362","220121319","216870046","0.43","36","Regional Survey"
"Brazil","South America","2011","1073737499","571398556","282656764","1.3","35.1","World Bank"
"Japan","Europe","2010","600301676","249640856","309611523","3.17","41.6","UN Estimate"
"India","Asia-Pacific","2018","583153364","235224988","100150231","1.85","38.3","Regional Survey"
"India","Europe","2009","171906832","125896913","59999055","3.04","31.8","Regional Survey"
"Japan","North America","2007","1251799517","842776180","364391308","1.13","34.4","National Census"
"United States","Europe","2020","961523214","373910683","270934213","1.05","40.1","Regional Survey"
"United States","South America","2011","1280785521","871919330","465912823","0.92","28.6","Regional Survey"
"Canada","North America","2006","57677604","30033952","22413429","-0.42","21.4","National Census"
"Mexico","North America","2017","284612204","123027047","94106857","2.67","41.3","Regional Survey"
"Brazil","Europe","2011","444008714","319660215","217482935","1.35","20.3","UN Estimate"
"United Kingdom","South America","2019","670704019","467023101","168836735","1.13","29.5","UN Estimate"
"United Kingdom","Europe","2025","64788220","42218351","10064277","0.47","25.7","World Bank"
"Mexico","Asia-Pacific","2023","1264192358","768727383","539318150","2.44","22.6","National Census"
"Germany","South America","2012","218322701","137719905","61272855","-0.26","34.7","World Bank"
"United Kingdom","Europe","2022","990876194","413139218","438353055","-0.93","37","UN Estimate"
"Mexico","Asia-Pacific","2020","75355289","62872436","25771728","-0.02","34.3","World Bank"
"United Kingdom","North America","2018","716480621","581189275","271539519","0.12","27.1","World Bank"
"Germany","North America","2013","1390462730","1036131120","729658405","1.16","34.2","Regional Survey"
