"StateOrTerritory","CensusYear","Population","Households","MedianIncome","MedianAge","AreaSqMi","DensityPerSqMi","Growth5YearPct"
"Alabama","2025","2162635","523727","49992","32.7","231564","897.74","2.21"
"Alaska","2025","28311273","11192371","54486","36.8","209598","1202.77","-0.23"
"Arizona","2025","36040926","8614502","79532","30.4","140732","71.23","6.22"
"Arkansas","2025","1254548","8791265","87438","29.7","15962","91.1","3.23"
"California","2025","26251998","8224034","89379","33.3","88518","880.29","0.47"
"Colorado","2025","25002327","8715448","58046","42.2","73749","397.88","0.93"
"Connecticut","2025","31857213","563378","91759","45.5","259450","693.96","-0.51"
"Delaware","2025","31840240","1917685","90228","46.3","159212","201.39","-1.67"
"Florida","2025","16981077","4937958","51286","43.4","181821","1117.79","-1.26"
"Georgia","2025","8635083","5589806","53037","37.1","73289","1145.18","1.97"
"Hawaii","2025","39225045","5686518","61156","33.5","196777","457.8","1"
"Idaho","2025","22960922","13396531","49147","30.7","134858","325.4","9.99"
"Illinois","2025","17727085","14283158","57499","42.3","153186","188.43","0.88"
"Indiana","2025","10839037","1926359","94197","39.8","108618","193.08","6.35"
"Iowa","2025","25809135","10087824","67974","41.5","168851","992.52","9.35"
"Kansas","2025","29234540","7623820","81818","44.5","212523","975.81","9.85"
"Kentucky","2025","16460740","746087","81572","32.1","178628","240.61","8.73"
"Louisiana","2025","15821252","13360687","81923","41.7","215471","97.96","8.2"
"Maine","2025","10791831","6062866","78442","34.9","60340","746.73","10.98"
"Maryland","2025","9562176","9692502","64556","44.7","120453","60.35","7.86"
"Massachusetts","2025","18688548","8289877","91103","43","93496","436.36","9.98"
"Michigan","2025","3764797","3423696","65724","42.3","259345","1000.56","1.59"
"Minnesota","2025","30585452","10937983","97387","43.9","201530","102.95","4.63"
"Mississippi","2025","4801688","1062080","71827","39.2","52352","1108.52","0.48"
"Missouri","2025","15131966","4545288","58853","32.9","41408","79.42","10.97"
"Montana","2025","14361752","12155901","93719","37.2","194143","1052.73","0.53"
"Nebraska","2025","7738509","3447601","74927","33.7","213099","809.54","4.44"
"Nevada","2025","36107590","6116306","44628","41.6","260451","282.27","2.99"
"New Hampshire","2025","20236902","5122285","53966","31.8","119323","819.27","7.91"
"New Jersey","2025","36445033","1954670","71314","43.6","207488","401.05","3.83"
"New Mexico","2025","36182663","1136585","62901","29.5","57089","356.7","10.94"
"New York","2025","33002373","13708286","59109","36.2","68021","865.24","4.46"
"North Carolina","2025","35220897","3832419","70989","32.3","224526","688.83","9.89"
"North Dakota","2025","19707996","10351362","58827","34","53335","571.7","1.68"
"Ohio","2025","4616410","1122557","67201","29.4","92568","57.47","11.97"
"Oklahoma","2025","14113646","9833760","79583","42.6","253315","523.32","7.41"
"Oregon","2025","16113654","13186588","84029","32.4","259695","301.02","-1.56"
"Pennsylvania","2025","34385430","283086","76969","45.9","205490","685.84","3.92"
"Rhode Island","2025","14401008","1240471","83962","29.3","221804","798.93","8.2"
"South Carolina","2025","34830708","12433635","63367","45.4","182074","561.08","5.59"
"South Dakota","2025","23153690","12305334","66064","45.1","38101","217.28","-0.71"
"Tennessee","2025","31777477","8064470","46895","33.2","61676","282.87","1.3"
"Texas","2025","2836531","12005649","46714","39.4","129140","695.12","11.9"
"Utah","2025","23956195","13381963","83554","31.1","208216","1137.18","5.27"
"Vermont","2025","2600876","5476101","57790","34.2","211704","592.43","2.04"
"Virginia","2025","6754086","2984759","44446","40.2","106034","401.83","5.75"
"Washington","2025","20912955","9665108","85740","39.7","116682","596.68","9.5"
"West Virginia","2025","1715737","4452464","60397","32.5","239952","664.14","11.71"
"Wisconsin","2025","36567503","10033873","85446","35.6","63790","692.39","8.49"
"Wyoming","2025","7600136","11718105","94881","37","200608","1141.82","10.59"
"District of Columbia","2025","25120886","779236","95645","30.5","66747","531.49","-0.91"
"Puerto Rico","2025","10673880","13941579","71224","35.1","122161","842.65","-1.68"
