"ProductId","SKU","ProductName","Category","Warehouse","QuantityOnHand","ReorderPoint","UnitCost","UnitPrice","Supplier","Status","LastReceipt"
"P-00001","SKU-249163","USB-C Hub","Audio","WH-TX","538","135","136.16","267.92","Supplier-21","InStock","2026-03-15"
"P-00002","SKU-596210","4K Monitor","Accessories","WH-TX","634","167","80.88","129.05","Supplier-57","Reserved","2026-05-02"
"P-00003","SKU-162177","4K Monitor","Hardware","WH-IL","564","130","112.58","191.94","Supplier-54","Discontinued","2026-08-04"
"P-00004","SKU-483722","Laptop Stand","Office","WH-TX","331","90","30.02","47.81","Supplier-11","Discontinued","2026-08-09"
"P-00005","SKU-198235","USB-C Hub","Hardware","WH-CA","755","116","89.08","169.65","Supplier-30","Reserved","2026-08-17"
"P-00006","SKU-644255","USB-C Hub","Hardware","WH-TX","754","28","21.18","30.81","Supplier-40","BackOrder","2026-07-30"
"P-00007","SKU-203648","Wireless Mouse","Accessories","WH-IL","214","105","60.85","91","Supplier-27","BackOrder","2026-03-19"
"P-00008","SKU-357756","4K Monitor","Office","WH-CA","895","157","97.24","127.34","Supplier-14","BackOrder","2026-05-14"
"P-00009","SKU-228909","4K Monitor","Hardware","WH-TX","876","118","22.93","35.24","Supplier-4","InStock","2026-04-15"
"P-00010","SKU-802737","USB-C Hub","Storage","WH-TX","813","76","63.87","105.4","Supplier-58","InStock","2026-04-21"
"P-00011","SKU-534759","Laptop Stand","Office","WH-IL","153","29","42.71","81.94","Supplier-49","InStock","2026-03-26"
"P-00012","SKU-766993","Laptop Stand","Audio","WH-IL","741","109","138.45","198.1","Supplier-50","BackOrder","2026-04-13"
"P-00013","SKU-807603","Webcam Pro","Accessories","WH-IL","521","173","145.76","282.79","Supplier-53","BackOrder","2026-06-08"
"P-00014","SKU-410312","Laptop Stand","Storage","WH-IL","147","89","77.6","106.55","Supplier-61","BackOrder","2026-05-10"
"P-00015","SKU-571901","4K Monitor","Storage","WH-CA","60","105","92.83","177.11","Supplier-21","BackOrder","2026-06-12"
"P-00016","SKU-694627","USB-C Hub","Audio","WH-CA","345","101","89.13","110.5","Supplier-51","BackOrder","2026-06-06"
"P-00017","SKU-593911","Webcam Pro","Audio","WH-IL","829","81","60.52","120.61","Supplier-20","BackOrder","2026-06-21"
"P-00018","SKU-999685","Wireless Mouse","Audio","WH-IL","753","162","39.51","60.29","Supplier-17","InStock","2026-08-12"
"P-00019","SKU-370523","USB-C Hub","Audio","WH-NY","542","23","183.87","345.2","Supplier-26","Reserved","2026-07-06"
"P-00020","SKU-679066","Laptop Stand","Hardware","WH-NY","166","119","13.7","22.68","Supplier-58","InStock","2026-08-13"
"P-00021","SKU-368625","USB-C Hub","Office","WH-IL","365","128","25.06","49.93","Supplier-58","InStock","2026-06-22"
"P-00022","SKU-816495","USB-C Hub","Accessories","WH-TX","694","149","48.37","97.88","Supplier-15","InTransit","2026-04-10"
"P-00023","SKU-544358","4K Monitor","Audio","WH-IL","635","130","169.79","255.96","Supplier-40","InStock","2026-08-23"
"P-00024","SKU-478276","Laptop Stand","Accessories","WH-CA","625","124","172.63","311.1","Supplier-45","Discontinued","2026-07-15"
"P-00025","SKU-755588","Wireless Mouse","Audio","WH-IL","813","157","129.78","189.93","Supplier-5","InTransit","2026-08-03"
"P-00026","SKU-961108","Portable SSD","Storage","WH-TX","461","178","68.56","143.52","Supplier-12","Reserved","2026-07-26"
"P-00027","SKU-214375","Laptop Stand","Hardware","WH-NY","125","31","47","56.88","Supplier-36","BackOrder","2026-08-15"
"P-00028","SKU-280868","Portable SSD","Accessories","WH-NY","706","147","129.49","234.2","Supplier-48","InStock","2026-07-25"
"P-00029","SKU-484980","Laptop Stand","Accessories","WH-CA","353","37","151.45","228.59","Supplier-46","Reserved","2026-04-04"
"P-00030","SKU-745275","Laptop Stand","Audio","WH-IL","780","134","100.33","128.27","Supplier-61","BackOrder","2026-03-20"
"P-00031","SKU-352513","4K Monitor","Hardware","WH-IL","250","45","59.11","88.42","Supplier-24","Discontinued","2026-08-16"
"P-00032","SKU-805041","4K Monitor","Storage","WH-CA","388","134","16.13","22.63","Supplier-25","Reserved","2026-05-22"
"P-00033","SKU-202382","Laptop Stand","Accessories","WH-CA","873","169","167.16","226.83","Supplier-2","InStock","2026-03-19"
"P-00034","SKU-189155","Portable SSD","Audio","WH-CA","403","160","173.79","219.63","Supplier-33","InStock","2026-08-05"
"P-00035","SKU-542192","USB-C Hub","Hardware","WH-IL","190","61","91.98","114.78","Supplier-15","InTransit","2026-06-24"
"P-00036","SKU-195545","4K Monitor","Storage","WH-CA","630","50","144.29","232.31","Supplier-28","Discontinued","2026-03-19"
"P-00037","SKU-741267","USB-C Hub","Hardware","WH-IL","706","58","37.15","55.13","Supplier-32","InStock","2026-06-18"
"P-00038","SKU-154521","4K Monitor","Storage","WH-TX","106","134","148.01","273.39","Supplier-46","InTransit","2026-03-01"
"P-00039","SKU-679128","Webcam Pro","Hardware","WH-CA","663","41","112.01","167.16","Supplier-17","Discontinued","2026-06-06"
"P-00040","SKU-258078","4K Monitor","Audio","WH-IL","248","97","113.76","228.9","Supplier-60","Reserved","2026-06-30"
"P-00041","SKU-448452","USB-C Hub","Accessories","WH-IL","181","30","77.04","140.21","Supplier-45","InTransit","2026-03-10"
"P-00042","SKU-448938","Portable SSD","Accessories","WH-IL","48","102","40.98","76.8","Supplier-21","Discontinued","2026-04-29"
"P-00043","SKU-242400","USB-C Hub","Accessories","WH-IL","326","87","68.94","91.57","Supplier-13","InStock","2026-05-13"
"P-00044","SKU-959167","USB-C Hub","Audio","WH-TX","827","177","56.05","115.3","Supplier-10","InStock","2026-05-28"
"P-00045","SKU-483996","Wireless Mouse","Audio","WH-TX","463","88","126.3","234.57","Supplier-25","InStock","2026-05-19"
"P-00046","SKU-320154","Wireless Mouse","Audio","WH-CA","272","138","139.72","213.11","Supplier-16","Discontinued","2026-03-12"
"P-00047","SKU-491831","Portable SSD","Storage","WH-NY","523","116","117.86","193.74","Supplier-22","Discontinued","2026-05-03"
"P-00048","SKU-485161","Laptop Stand","Hardware","WH-NY","850","169","160.84","264.87","Supplier-48","Discontinued","2026-05-30"
"P-00049","SKU-633884","Laptop Stand","Accessories","WH-CA","330","125","138.84","195.55","Supplier-25","Discontinued","2026-04-13"
"P-00050","SKU-940154","Webcam Pro","Storage","WH-TX","395","159","141.09","185.95","Supplier-49","Discontinued","2026-03-14"
"P-00051","SKU-773335","Portable SSD","Audio","WH-CA","155","148","26.01","43.46","Supplier-20","InStock","2026-07-02"
"P-00052","SKU-283347","Wireless Mouse","Storage","WH-CA","801","54","31.29","59.44","Supplier-42","BackOrder","2026-03-23"
"P-00053","SKU-367227","Laptop Stand","Accessories","WH-NY","443","94","27.42","51.86","Supplier-56","InTransit","2026-04-17"
"P-00054","SKU-162822","USB-C Hub","Office","WH-IL","758","96","154.96","205.86","Supplier-37","Reserved","2026-04-15"
"P-00055","SKU-240499","4K Monitor","Audio","WH-CA","648","178","87.89","106.48","Supplier-33","InStock","2026-04-27"
"P-00056","SKU-981977","4K Monitor","Audio","WH-TX","836","64","51.11","80.96","Supplier-52","InStock","2026-06-07"
"P-00057","SKU-154899","Wireless Mouse","Office","WH-TX","833","80","81.81","169.74","Supplier-10","Discontinued","2026-06-13"
"P-00058","SKU-355767","Portable SSD","Audio","WH-CA","791","142","75.48","113.36","Supplier-56","BackOrder","2026-05-07"
"P-00059","SKU-678850","USB-C Hub","Storage","WH-TX","486","108","35.4","71.61","Supplier-17","Discontinued","2026-05-11"
"P-00060","SKU-265652","4K Monitor","Accessories","WH-NY","411","20","189.26","331.67","Supplier-6","InTransit","2026-02-28"
"P-00061","SKU-680093","Wireless Mouse","Audio","WH-CA","259","84","159.1","199.92","Supplier-3","BackOrder","2026-08-10"
"P-00062","SKU-231981","4K Monitor","Hardware","WH-TX","512","158","152.38","296.82","Supplier-37","Reserved","2026-04-11"
"P-00063","SKU-703335","Webcam Pro","Hardware","WH-TX","654","64","150.25","226.22","Supplier-52","BackOrder","2026-05-02"
"P-00064","SKU-622262","Webcam Pro","Office","WH-CA","774","59","37.42","47.8","Supplier-52","Discontinued","2026-06-30"
"P-00065","SKU-417787","USB-C Hub","Storage","WH-NY","42","93","174.37","338.37","Supplier-14","Reserved","2026-05-15"
"P-00066","SKU-374492","4K Monitor","Storage","WH-CA","28","131","23.92","34.81","Supplier-46","Reserved","2026-03-30"
"P-00067","SKU-154543","Portable SSD","Accessories","WH-IL","772","12","37.44","67.8","Supplier-18","Discontinued","2026-07-31"
"P-00068","SKU-862796","USB-C Hub","Audio","WH-TX","570","56","95.1","150.62","Supplier-21","InStock","2026-07-14"
"P-00069","SKU-366911","USB-C Hub","Storage","WH-IL","237","54","115.86","139.94","Supplier-7","InTransit","2026-03-27"
"P-00070","SKU-707016","Wireless Mouse","Storage","WH-IL","152","118","27.34","49.3","Supplier-13","InStock","2026-03-06"
"P-00071","SKU-890736","Webcam Pro","Office","WH-IL","528","23","179.76","346.91","Supplier-28","InStock","2026-04-09"
"P-00072","SKU-146687","Webcam Pro","Storage","WH-IL","10","137","175.56","224.97","Supplier-1","Reserved","2026-07-14"
"P-00073","SKU-259441","Webcam Pro","Accessories","WH-CA","763","27","124.83","186.87","Supplier-44","InTransit","2026-08-07"
"P-00074","SKU-537052","4K Monitor","Hardware","WH-TX","320","124","124.72","157.03","Supplier-2","Reserved","2026-04-25"
"P-00075","SKU-625565","Wireless Mouse","Hardware","WH-IL","157","116","69.88","131.06","Supplier-29","InStock","2026-06-07"
"P-00076","SKU-593706","4K Monitor","Audio","WH-CA","865","49","138.72","188.07","Supplier-22","Reserved","2026-03-14"
"P-00077","SKU-987615","Wireless Mouse","Accessories","WH-IL","544","77","157.67","253.51","Supplier-22","Reserved","2026-04-10"
"P-00078","SKU-483885","Wireless Mouse","Hardware","WH-CA","826","168","183.07","384.02","Supplier-4","Reserved","2026-03-01"
"P-00079","SKU-381324","Laptop Stand","Office","WH-CA","725","130","46.34","70.23","Supplier-51","InStock","2026-07-20"
"P-00080","SKU-217732","Wireless Mouse","Storage","WH-CA","235","13","86.31","175.83","Supplier-4","Discontinued","2026-03-08"
"P-00081","SKU-596061","Wireless Mouse","Office","WH-TX","412","63","182.31","253.48","Supplier-26","Reserved","2026-05-26"
"P-00082","SKU-672128","Portable SSD","Accessories","WH-TX","796","110","161.36","230.12","Supplier-41","Discontinued","2026-05-05"
"P-00083","SKU-546689","Laptop Stand","Audio","WH-CA","247","123","147.88","253.78","Supplier-3","BackOrder","2026-07-19"
"P-00084","SKU-190968","USB-C Hub","Accessories","WH-NY","299","52","57.26","88.98","Supplier-31","Discontinued","2026-04-08"
"P-00085","SKU-891602","4K Monitor","Hardware","WH-TX","725","32","176.24","225.66","Supplier-30","InStock","2026-07-14"
"P-00086","SKU-979969","Webcam Pro","Office","WH-CA","780","16","70.92","113.54","Supplier-47","BackOrder","2026-07-30"
"P-00087","SKU-318167","Webcam Pro","Audio","WH-NY","616","53","125.19","261.62","Supplier-25","BackOrder","2026-03-19"
"P-00088","SKU-466287","Laptop Stand","Hardware","WH-CA","804","156","189.56","338.35","Supplier-58","InTransit","2026-08-15"
"P-00089","SKU-690006","USB-C Hub","Office","WH-CA","579","75","15.64","19.54","Supplier-28","InStock","2026-06-18"
"P-00090","SKU-901797","USB-C Hub","Accessories","WH-CA","547","86","150.45","241.39","Supplier-14","Discontinued","2026-02-26"
"P-00091","SKU-395057","Wireless Mouse","Accessories","WH-CA","260","34","92.34","148.04","Supplier-56","Reserved","2026-07-11"
"P-00092","SKU-268819","Laptop Stand","Accessories","WH-CA","871","114","115.62","238.36","Supplier-64","Discontinued","2026-03-20"
"P-00093","SKU-961826","Wireless Mouse","Audio","WH-TX","275","53","121.93","241.75","Supplier-29","Discontinued","2026-07-04"
"P-00094","SKU-286851","Laptop Stand","Accessories","WH-TX","70","26","15.9","27.63","Supplier-19","InStock","2026-03-19"
"P-00095","SKU-940178","Wireless Mouse","Hardware","WH-TX","870","91","105.9","209.3","Supplier-38","Discontinued","2026-07-19"
"P-00096","SKU-512374","USB-C Hub","Hardware","WH-IL","835","152","114.53","222.59","Supplier-40","InStock","2026-05-16"
"P-00097","SKU-631184","Portable SSD","Hardware","WH-TX","518","100","64.43","130.93","Supplier-58","Reserved","2026-04-13"
"P-00098","SKU-185447","Wireless Mouse","Office","WH-TX","15","58","143","214.96","Supplier-62","InStock","2026-05-25"
"P-00099","SKU-443323","Webcam Pro","Storage","WH-TX","199","38","159.37","193.63","Supplier-30","Reserved","2026-03-26"
"P-00100","SKU-108063","4K Monitor","Hardware","WH-NY","529","163","185.77","316.6","Supplier-4","InTransit","2026-04-20"
"P-00101","SKU-209187","Wireless Mouse","Audio","WH-TX","578","149","160.59","205.32","Supplier-22","InStock","2026-06-03"
"P-00102","SKU-616203","4K Monitor","Office","WH-TX","219","63","152.58","196.1","Supplier-47","InStock","2026-07-14"
"P-00103","SKU-581193","Wireless Mouse","Storage","WH-NY","775","128","171.79","261.86","Supplier-5","InStock","2026-05-02"
"P-00104","SKU-364814","4K Monitor","Audio","WH-CA","761","98","33.27","45.31","Supplier-41","InStock","2026-04-09"
"P-00105","SKU-922817","Laptop Stand","Office","WH-CA","121","122","103.66","196.06","Supplier-48","InStock","2026-04-29"
"P-00106","SKU-784859","Webcam Pro","Office","WH-CA","447","172","119.28","163.36","Supplier-41","InStock","2026-06-11"
"P-00107","SKU-454183","Wireless Mouse","Storage","WH-IL","574","89","38.06","78.74","Supplier-14","Reserved","2026-08-16"
"P-00108","SKU-789846","USB-C Hub","Audio","WH-CA","119","105","34","66.51","Supplier-26","BackOrder","2026-05-27"
"P-00109","SKU-195234","Webcam Pro","Storage","WH-NY","281","14","95.49","163.82","Supplier-44","Reserved","2026-04-11"
"P-00110","SKU-953900","Webcam Pro","Accessories","WH-IL","327","13","29.44","51.55","Supplier-18","InTransit","2026-07-12"
"P-00111","SKU-928811","Portable SSD","Storage","WH-IL","846","150","110.84","138.5","Supplier-5","Discontinued","2026-08-04"
"P-00112","SKU-838568","Laptop Stand","Hardware","WH-IL","390","36","128.7","211.26","Supplier-12","Discontinued","2026-05-27"
"P-00113","SKU-238814","USB-C Hub","Hardware","WH-NY","218","43","78.36","145.66","Supplier-25","InStock","2026-05-14"
"P-00114","SKU-145646","Portable SSD","Hardware","WH-NY","500","24","51.51","62.4","Supplier-55","Reserved","2026-07-30"
"P-00115","SKU-512444","Portable SSD","Hardware","WH-IL","510","110","189.31","389.51","Supplier-8","Discontinued","2026-05-24"
"P-00116","SKU-269951","Webcam Pro","Office","WH-CA","642","108","21.01","37.98","Supplier-56","BackOrder","2026-08-09"
"P-00117","SKU-827167","Laptop Stand","Hardware","WH-IL","200","111","26.57","38.1","Supplier-7","InTransit","2026-08-20"
"P-00118","SKU-281302","Laptop Stand","Accessories","WH-NY","331","117","52.61","97.98","Supplier-51","InTransit","2026-03-29"
"P-00119","SKU-437838","Webcam Pro","Accessories","WH-CA","815","73","139.11","286.06","Supplier-18","Discontinued","2026-03-14"
"P-00120","SKU-278516","Laptop Stand","Hardware","WH-IL","724","72","173.44","342.48","Supplier-34","Discontinued","2026-05-02"
"P-00121","SKU-507635","4K Monitor","Office","WH-TX","598","46","16.71","26.65","Supplier-16","Reserved","2026-07-22"
"P-00122","SKU-870837","Webcam Pro","Accessories","WH-CA","488","127","58.51","98.79","Supplier-47","Discontinued","2026-06-09"
"P-00123","SKU-406657","Webcam Pro","Accessories","WH-IL","543","150","68.7","133.63","Supplier-28","BackOrder","2026-07-24"
"P-00124","SKU-943064","Wireless Mouse","Audio","WH-NY","460","130","24.59","49.74","Supplier-4","BackOrder","2026-06-01"
"P-00125","SKU-690136","Wireless Mouse","Accessories","WH-TX","260","149","139.78","242.11","Supplier-54","InTransit","2026-08-19"
