"ShipmentId","ProductId","OrderNumber","WarehouseFrom","WarehouseTo","UnitsShipped","Carrier","TrackingNumber","ShipDate","EstimatedArrival","DeliveryStatus"
"SHP-00001","P-00015","ORD-66253","WH-NY","WH-CA","40","DHL","TRK64847256","2026-04-24","2026-04-28","Delivered"
"SHP-00002","P-00012","ORD-51540","WH-IL","WH-IL","30","Local Freight","TRK45299315","2026-03-15","2026-03-17","Delivered"
"SHP-00003","P-00009","ORD-87307","WH-NY","WH-CA","33","UPS","TRK66058637","2026-05-07","2026-05-09","Exception"
"SHP-00004","P-00069","ORD-32793","WH-NY","WH-TX","181","DHL","TRK47512892","2026-04-27","2026-05-01","In Transit"
"SHP-00005","P-00057","ORD-94527","WH-TX","WH-IL","109","UPS","TRK31936986","2026-08-21","2026-08-26","Delivered"
"SHP-00006","P-00054","ORD-68473","WH-IL","WH-TX","121","FedEx","TRK56633734","2026-05-29","2026-06-02","Exception"
"SHP-00007","P-00009","ORD-43659","WH-IL","WH-TX","58","Local Freight","TRK47044633","2026-07-25","2026-07-31","Pending"
"SHP-00008","P-00055","ORD-96937","WH-IL","WH-NY","22","UPS","TRK47146262","2026-05-17","2026-05-19","In Transit"
"SHP-00009","P-00098","ORD-15638","WH-IL","WH-NY","37","Local Freight","TRK41284660","2026-02-15","2026-02-20","Pending"
"SHP-00010","P-00015","ORD-92947","WH-IL","WH-NY","208","UPS","TRK15178214","2026-05-02","2026-05-03","Exception"
"SHP-00011","P-00098","ORD-64138","WH-CA","WH-CA","219","USPS","TRK81829960","2026-04-15","2026-04-23","In Transit"
"SHP-00012","P-00106","ORD-38997","WH-NY","WH-CA","82","UPS","TRK43707112","2026-06-01","2026-06-08","In Transit"
"SHP-00013","P-00062","ORD-86152","WH-IL","WH-TX","83","USPS","TRK20417475","2026-06-12","2026-06-18","Delivered"
"SHP-00014","P-00009","ORD-44920","WH-CA","WH-CA","38","UPS","TRK52102493","2026-08-20","2026-08-23","Delivered"
"SHP-00015","P-00013","ORD-49801","WH-NY","WH-TX","160","DHL","TRK71099861","2026-04-06","2026-04-08","Pending"
"SHP-00016","P-00088","ORD-34892","WH-IL","WH-TX","36","Local Freight","TRK74025208","2026-02-17","2026-02-19","In Transit"
"SHP-00017","P-00044","ORD-21033","WH-IL","WH-TX","78","USPS","TRK79546232","2026-05-20","2026-05-26","In Transit"
"SHP-00018","P-00068","ORD-20395","WH-CA","WH-CA","60","UPS","TRK70079196","2026-07-18","2026-07-23","Exception"
"SHP-00019","P-00105","ORD-89834","WH-IL","WH-NY","71","DHL","TRK65483844","2026-05-01","2026-05-04","In Transit"
"SHP-00020","P-00059","ORD-34092","WH-IL","WH-CA","78","Local Freight","TRK63099313","2026-07-08","2026-07-15","Pending"
"SHP-00021","P-00004","ORD-12894","WH-IL","WH-CA","89","USPS","TRK63825710","2026-06-30","2026-07-02","Delivered"
"SHP-00022","P-00034","ORD-23691","WH-CA","WH-IL","142","USPS","TRK32744978","2026-08-02","2026-08-08","Delivered"
"SHP-00023","P-00105","ORD-55110","WH-NY","WH-NY","158","FedEx","TRK29864248","2026-05-05","2026-05-06","Delivered"
"SHP-00024","P-00058","ORD-86788","WH-CA","WH-TX","122","Local Freight","TRK19719801","2026-06-26","2026-06-29","Exception"
"SHP-00025","P-00025","ORD-45545","WH-TX","WH-TX","212","FedEx","TRK75925899","2026-03-30","2026-03-31","Pending"
"SHP-00026","P-00091","ORD-86513","WH-IL","WH-TX","97","USPS","TRK83645638","2026-02-27","2026-03-04","Pending"
"SHP-00027","P-00046","ORD-58529","WH-NY","WH-CA","143","USPS","TRK61472230","2026-07-29","2026-07-31","Delivered"
"SHP-00028","P-00045","ORD-99998","WH-NY","WH-TX","80","USPS","TRK31323389","2026-03-09","2026-03-17","Delivered"
"SHP-00029","P-00068","ORD-19985","WH-NY","WH-TX","126","DHL","TRK17291153","2026-06-06","2026-06-08","Pending"
"SHP-00030","P-00124","ORD-58872","WH-TX","WH-CA","82","DHL","TRK43254193","2026-08-18","2026-08-23","Exception"
"SHP-00031","P-00094","ORD-62670","WH-IL","WH-NY","118","DHL","TRK83863537","2026-05-06","2026-05-10","Delivered"
"SHP-00032","P-00036","ORD-93249","WH-TX","WH-TX","130","FedEx","TRK50858574","2026-02-06","2026-02-12","Delivered"
"SHP-00033","P-00042","ORD-47048","WH-NY","WH-NY","188","Local Freight","TRK68183529","2026-08-16","2026-08-20","Pending"
"SHP-00034","P-00009","ORD-71584","WH-NY","WH-CA","144","Local Freight","TRK30818757","2026-04-05","2026-04-13","Pending"
"SHP-00035","P-00099","ORD-65243","WH-NY","WH-IL","164","UPS","TRK30295031","2026-03-07","2026-03-14","Pending"
"SHP-00036","P-00026","ORD-68360","WH-TX","WH-CA","48","FedEx","TRK44666063","2026-08-01","2026-08-07","In Transit"
"SHP-00037","P-00010","ORD-43348","WH-CA","WH-TX","204","DHL","TRK73091472","2026-04-01","2026-04-06","Pending"
"SHP-00038","P-00003","ORD-55069","WH-IL","WH-TX","55","DHL","TRK37623234","2026-04-19","2026-04-22","In Transit"
"SHP-00039","P-00074","ORD-81338","WH-TX","WH-IL","112","USPS","TRK34318309","2026-03-19","2026-03-24","In Transit"
"SHP-00040","P-00072","ORD-59499","WH-CA","WH-NY","170","USPS","TRK17089049","2026-06-22","2026-06-29","Delivered"
"SHP-00041","P-00046","ORD-64391","WH-NY","WH-TX","22","DHL","TRK72502259","2026-07-27","2026-07-29","In Transit"
"SHP-00042","P-00004","ORD-21975","WH-NY","WH-TX","31","FedEx","TRK91634438","2026-05-17","2026-05-23","Pending"
"SHP-00043","P-00042","ORD-19520","WH-NY","WH-CA","16","USPS","TRK84182160","2026-05-16","2026-05-24","Exception"
"SHP-00044","P-00081","ORD-59389","WH-NY","WH-TX","96","Local Freight","TRK80696645","2026-03-11","2026-03-12","Exception"
"SHP-00045","P-00092","ORD-22969","WH-NY","WH-IL","64","USPS","TRK38918499","2026-03-16","2026-03-18","Pending"
"SHP-00046","P-00065","ORD-42067","WH-IL","WH-CA","178","FedEx","TRK51689049","2026-05-18","2026-05-22","In Transit"
"SHP-00047","P-00110","ORD-80322","WH-CA","WH-CA","187","USPS","TRK91130445","2026-04-21","2026-04-29","Delivered"
"SHP-00048","P-00063","ORD-81172","WH-NY","WH-NY","170","UPS","TRK89997967","2026-07-24","2026-07-26","Delivered"
