"SalesOrderId","OrderDate","CustomerId","ProductId","Quantity","UnitPrice","DiscountPct","NetAmount","SalesRep","Region","Fulfillment"
"SO-000001","2026-07-22","CU-02685","P-00118","2","444.04","0.07","850.58","Rep-04","Midwest","Pending"
"SO-000002","2025-11-04","CU-01026","P-00108","4","356.04","0.18","1384.94","Rep-05","South","Cancelled"
"SO-000003","2026-04-11","CU-00333","P-00081","10","130.59","0.02","1094.05","Rep-04","South","Pending"
"SO-000004","2025-10-09","CU-02179","P-00014","1","367.35","0.19","310.98","Rep-04","Northeast","Partial"
"SO-000005","2025-11-15","CU-02110","P-00117","16","70.7","0.11","1002.12","Rep-05","Midwest","Shipped"
"SO-000006","2025-09-28","CU-02328","P-00078","9","308.52","0.18","2485.37","Rep-06","Midwest","Cancelled"
"SO-000007","2025-11-13","CU-00042","P-00029","10","271.4","0.08","2282.59","Rep-01","West","Shipped"
"SO-000008","2025-10-05","CU-02722","P-00033","24","287.57","0.06","6300.14","Rep-05","West","Shipped"
"SO-000009","2026-05-21","CU-01808","P-00111","12","89.22","0.08","901.38","Rep-01","West","Pending"
"SO-000010","2026-05-08","CU-02916","P-00029","7","407.25","0.02","2674.51","Rep-05","Midwest","Partial"
"SO-000011","2026-02-22","CU-01197","P-00018","15","264.97","0.17","3426.5","Rep-06","South","Pending"
"SO-000012","2025-11-06","CU-00282","P-00045","8","427","0.05","3226.32","Rep-02","West","Cancelled"
"SO-000013","2025-09-02","CU-02813","P-00092","12","367.96","0.02","4169.52","Rep-06","South","Shipped"
"SO-000014","2026-06-16","CU-01882","P-00070","23","341.45","0.2","6919.02","Rep-06","Midwest","Shipped"
"SO-000015","2026-01-25","CU-02263","P-00121","15","411.43","0.08","6090.57","Rep-02","South","Cancelled"
"SO-000016","2026-01-07","CU-01871","P-00008","19","89.56","0.18","1524.06","Rep-04","South","Shipped"
"SO-000017","2026-04-29","CU-01071","P-00053","11","398.38","0.13","3810.91","Rep-02","South","Pending"
"SO-000018","2025-12-06","CU-00021","P-00031","14","215.81","0.14","2910.11","Rep-02","Northeast","Pending"
"SO-000019","2026-05-09","CU-02066","P-00047","1","63.2","0.17","62.11","Rep-04","South","Partial"
"SO-000020","2026-06-13","CU-01306","P-00084","9","57.59","0.17","466.04","Rep-02","Midwest","Pending"
"SO-000021","2025-12-26","CU-00561","P-00051","16","420.52","0.07","6182.66","Rep-04","Midwest","Pending"
"SO-000022","2026-01-20","CU-00847","P-00124","15","176.32","0.08","2379.7","Rep-04","Northeast","Partial"
"SO-000023","2026-01-16","CU-02415","P-00012","13","85.48","0.11","1061.66","Rep-02","Midwest","Pending"
"SO-000024","2025-10-06","CU-01843","P-00095","2","456.68","0.03","840.27","Rep-01","Midwest","Shipped"
"SO-000025","2026-06-17","CU-00372","P-00016","8","227.61","0.22","1656.41","Rep-06","Midwest","Pending"
"SO-000026","2026-05-28","CU-02063","P-00107","5","432.74","0.1","2047.78","Rep-06","West","Cancelled"
"SO-000027","2026-05-13","CU-02682","P-00049","3","91.8","0.14","251.85","Rep-06","South","Cancelled"
"SO-000028","2026-04-19","CU-02838","P-00042","22","216.93","0.01","3939.66","Rep-03","South","Shipped"
"SO-000029","2025-10-25","CU-00052","P-00036","24","164.3","0.03","3418.08","Rep-02","Northeast","Pending"
"SO-000030","2026-08-20","CU-01091","P-00118","21","279.23","0.03","5665.26","Rep-02","South","Pending"
"SO-000031","2026-04-06","CU-01796","P-00053","13","250.46","0.17","2916.63","Rep-02","Midwest","Cancelled"
"SO-000032","2026-06-23","CU-02965","P-00117","13","383.04","0.17","4676.19","Rep-02","South","Pending"
"SO-000033","2026-06-07","CU-00752","P-00002","22","140.8","0.07","2854","Rep-06","West","Shipped"
"SO-000034","2025-11-25","CU-00594","P-00076","21","319.44","0.1","5566.35","Rep-02","South","Partial"
"SO-000035","2025-10-21","CU-02856","P-00098","14","214.96","0.01","2784.81","Rep-01","Midwest","Shipped"
"SO-000036","2025-12-18","CU-01411","P-00075","20","429.36","0.05","8109.06","Rep-01","South","Shipped"
"SO-000037","2026-05-10","CU-00490","P-00121","8","282.07","0.18","2227.29","Rep-06","Midwest","Pending"
"SO-000038","2025-12-23","CU-00222","P-00090","20","62.17","0.1","1145.59","Rep-02","Midwest","Cancelled"
"SO-000039","2026-02-03","CU-02464","P-00048","22","201.08","0.2","3633.96","Rep-02","South","Pending"
"SO-000040","2026-01-02","CU-01477","P-00028","4","379.57","0.21","1476.64","Rep-05","Northeast","Cancelled"
"SO-000041","2026-01-05","CU-02876","P-00046","23","212.97","0.15","4677.17","Rep-04","Northeast","Shipped"
"SO-000042","2025-12-26","CU-01817","P-00026","19","36.4","0.2","686.85","Rep-03","Northeast","Shipped"
"SO-000043","2026-04-11","CU-00049","P-00040","21","373.45","0","7190.48","Rep-02","Northeast","Cancelled"
"SO-000044","2026-05-17","CU-01575","P-00005","8","356.02","0.1","2449.12","Rep-04","Midwest","Partial"
"SO-000045","2026-02-15","CU-01376","P-00073","17","186.42","0.02","3084.13","Rep-01","Midwest","Pending"
"SO-000046","2025-09-30","CU-02859","P-00015","22","321.84","0.03","6992.47","Rep-04","South","Pending"
"SO-000047","2025-11-21","CU-02973","P-00107","6","47.99","0.01","247.81","Rep-01","South","Partial"
"SO-000048","2026-08-19","CU-00297","P-00045","3","213.75","0.1","609.51","Rep-06","Midwest","Shipped"
"SO-000049","2025-10-04","CU-01605","P-00106","21","206.06","0.14","3658.27","Rep-02","Midwest","Cancelled"
"SO-000050","2025-09-09","CU-00277","P-00056","10","86.72","0.13","769.83","Rep-04","South","Partial"
"SO-000051","2026-03-08","CU-01630","P-00025","8","20.82","0.1","146.6","Rep-05","South","Partial"
"SO-000052","2026-06-18","CU-01281","P-00064","22","85.62","0.18","1821.39","Rep-02","West","Shipped"
"SO-000053","2025-12-03","CU-02077","P-00045","5","219.31","0.21","1000.75","Rep-06","South","Cancelled"
"SO-000054","2026-05-06","CU-02663","P-00111","20","350.01","0.19","5791.69","Rep-03","Midwest","Pending"
"SO-000055","2025-12-03","CU-02250","P-00125","23","41.44","0.05","785.73","Rep-04","South","Partial"
"SO-000056","2026-04-05","CU-01129","P-00047","11","195.65","0.19","2040.8","Rep-05","West","Shipped"
"SO-000057","2026-07-03","CU-02522","P-00104","24","348.93","0.03","7085.46","Rep-02","South","Partial"
"SO-000058","2025-10-06","CU-02311","P-00036","21","391.72","0.03","7147.21","Rep-06","South","Shipped"
"SO-000059","2026-04-23","CU-00094","P-00042","24","445.13","0.09","9994.95","Rep-06","South","Shipped"
"SO-000060","2026-06-28","CU-00318","P-00049","14","98.71","0.05","1154.1","Rep-06","Northeast","Cancelled"
"SO-000061","2025-08-30","CU-02767","P-00097","10","320.84","0.13","2909.37","Rep-04","West","Pending"
"SO-000062","2026-07-26","CU-00213","P-00031","4","155.43","0.01","576.48","Rep-01","South","Pending"
"SO-000063","2025-11-12","CU-01617","P-00014","19","433.23","0.15","7222.88","Rep-05","Midwest","Shipped"
"SO-000064","2026-08-04","CU-02483","P-00093","5","394.81","0.07","1629.12","Rep-03","Midwest","Cancelled"
"SO-000065","2025-10-24","CU-00771","P-00108","22","348.77","0.05","7527.35","Rep-01","Northeast","Pending"
"SO-000066","2026-04-09","CU-01555","P-00011","20","376.85","0.1","6318.64","Rep-03","Northeast","Shipped"
"SO-000067","2026-06-01","CU-00039","P-00008","22","347.95","0.07","7301.45","Rep-02","Midwest","Cancelled"
"SO-000068","2025-10-18","CU-02270","P-00062","2","460.06","0.01","904.4","Rep-04","South","Cancelled"
