"SummaryId","Month","Client","Team","TotalHours","AvgBillRate","TotalAmount","BillablePct","OpenInvoices"
"SUM-0001","2026-01","Northwind LLC","Team A","27.35","104","2844.4","50.76","1"
"SUM-0002","2026-03","Fabrikam Inc","Team B","157.01","177","27790.77","69.66","10"
"SUM-0003","2025-10","Northwind LLC","Team A","84.64","148","12526.72","70.27","11"
"SUM-0004","2026-07","Acme Corp","Team C","57.04","156","8898.24","65.8","1"
"SUM-0005","2026-04","Northwind LLC","Team C","160.03","137","21924.11","89.27","0"
"SUM-0006","2025-09","BlueYonder Co","Team B","122.47","187","22901.89","50.05","10"
"SUM-0007","2026-07","Contoso Ltd","Team B","58.16","160","9305.6","62.13","10"
"SUM-0008","2026-01","Contoso Ltd","Team A","37.65","120","4518","83.49","6"
"SUM-0009","2025-11","Contoso Ltd","Team C","96.2","109","10485.8","92.96","1"
"SUM-0010","2025-09","BlueYonder Co","Team C","84.63","123","10409.49","87.33","11"
"SUM-0011","2025-11","Fabrikam Inc","Team B","117.9","129","15209.1","53.24","11"
"SUM-0012","2025-09","Northwind LLC","Team A","174.18","139","24211.02","61.15","8"
"SUM-0013","2025-11","Northwind LLC","Team A","46.69","162","7563.78","75.34","2"
"SUM-0014","2026-07","Fabrikam Inc","Team A","145.1","133","19298.3","86.37","1"
"SUM-0015","2025-10","BlueYonder Co","Team B","78.78","148","11659.44","94.96","10"
"SUM-0016","2026-03","Fabrikam Inc","Team C","165.99","168","27886.32","74.62","9"
"SUM-0017","2026-02","Contoso Ltd","Team C","132.25","108","14283","68.3","2"
"SUM-0018","2026-06","Contoso Ltd","Team B","117.09","152","17797.68","83.23","7"
"SUM-0019","2025-11","Contoso Ltd","Team B","173.76","188","32666.88","87.93","1"
"SUM-0020","2026-01","Fabrikam Inc","Team A","164.39","128","21041.92","86.36","3"
"SUM-0021","2026-05","Contoso Ltd","Team A","170.86","143","24432.98","66.06","7"
"SUM-0022","2026-08","Northwind LLC","Team B","59.6","109","6496.4","91.11","7"
"SUM-0023","2025-11","Acme Corp","Team B","173.63","132","22919.16","63.08","8"
"SUM-0024","2025-09","Contoso Ltd","Team C","147.57","127","18741.39","79.84","10"
"SUM-0025","2025-11","Contoso Ltd","Team C","148.21","184","27270.64","92.74","11"
"SUM-0026","2026-01","Northwind LLC","Team B","35.04","187","6552.48","92.65","8"
"SUM-0027","2025-12","BlueYonder Co","Team D","147.16","96","14127.36","75.24","10"
"SUM-0028","2025-09","BlueYonder Co","Team C","173.59","136","23608.24","76.91","3"
"SUM-0029","2026-07","Northwind LLC","Team C","46.17","94","4339.98","83.09","3"
"SUM-0030","2026-03","BlueYonder Co","Team D","59.9","178","10662.2","77.66","1"
"SUM-0031","2025-10","BlueYonder Co","Team B","91.56","182","16663.92","91.34","2"
"SUM-0032","2026-08","Fabrikam Inc","Team A","69.34","144","9984.96","53.62","10"
"SUM-0033","2025-10","Acme Corp","Team B","95.96","137","13146.52","80.59","6"
"SUM-0034","2025-09","Fabrikam Inc","Team A","169.02","183","30930.66","71.08","3"
"SUM-0035","2026-02","BlueYonder Co","Team D","49.11","95","4665.45","83.27","0"
"SUM-0036","2026-02","Acme Corp","Team C","107.29","100","10729","52.92","1"
"SUM-0037","2025-10","Contoso Ltd","Team C","100.42","143","14360.06","69.1","7"
"SUM-0038","2025-11","Fabrikam Inc","Team D","85.78","162","13896.36","76.02","11"
"SUM-0039","2026-02","Acme Corp","Team B","177.38","109","19334.42","93.68","5"
"SUM-0040","2026-07","Acme Corp","Team B","97.75","170","16617.5","85.13","3"
